Item,Index,Rec.Date,Vender,Plant,Receiving No.,PR No.,PO No.,Request No.,User Name,Dept.,Inv. No.,SP/HM No.,S/N No.,Inv. Date,PR type,Part type,Description,Quantity, Amount ,Remark
1,INV250001,6-Jan-25,Aware Corporation Limited.,LPN1,P25010059,PR24030346,2310001582,,WARUT M.,IT,AIV20251012,,,1-Jan-25,Software,License,AWS HANA Web Application Firewall (WAF) Project (LPN1) HANA Lpn557 (JAN),1," 13,200.00 ",P9 : P12
2,INV250002,6-Jan-25,NEXUS SYSTEM RESOURCES COMPANY,LPN1,,PR24090275,2310004272,IT25010093,KAMPOL T.,IT,RI25010005,,,2-Jan-25,MA Software,License,SAP Enterprise Support SAP Annual Software Maintenance Fee in 2024 for the following,1," 2,778,949.00 ",01/01/2025-31/12/2025
2,INV250002,6-Jan-25,NEXUS SYSTEM RESOURCES COMPANY,LPN1,,PR24090275,2310004272,IT25010093,KAMPOL T.,IT,RI25010005,,,2-Jan-25,MA Software,License,SAP Enterprise Support Annual Adjustment of 0.62% to SAP On Premise Support Fee for Year 2025,1," 17,230.00 ",01/01/2025-31/12/2025
3,INV250003,6-Jan-25,Aware Corporation Limited.,LPN1,,PR24030346,2310001582,,WARUT M.,IT,AIV20242392,,,1-Aug-24,Software,License,AWS HANA Web Application Firewall (WAF) Project (LPN1) HANA Lpn557 (AUG),1," 13,200.00 ",P10 : P12
4,INV250004,8-Jan-25,"Wise solution and consulting co.,ltd.",LPN2,,PR24120359,2310005837,IT24120472,PREEDEE C.,PLN2,IV68C10804,HM22926,PF50J1B1,8-Jan-25,Asset,Laptop,Notebook Lenovo V15 G4 IRU 83A100DDTA,1," 15,900.00 ",HCOPMCS3068
5,INV250005,8-Jan-25,"Wise solution and consulting co.,ltd.",LPN1,P25010037,PR24120374,2310005838,IT24120663,RAWEEWAN K.,GEN,IV68010803,HM22933,PF50BB5M,8-Jan-25,Asset,Laptop,Notebook Lenovo V15 G4 IRU 83A100DDTA,1," 15,900.00 ",HCOGEN3069
6,INV250006,13-Jan-25,"CHI CHANG Computer (Thailand) Co.,Ltd.",LPN1,P25010072,PR24120025,2310005529,IT25010359,WATCHARAPONG W.,IT,NVAA6801/0050,HM22935,22475S0000034,10-Jan-25,Hardware,Switching Hub,TP-LINK 8-Port 10G Multi-Gigabit Switch # TL-SX1008,1," 12,000.00 ",
7,INV250007,15-Jan-25,"National Telecom Public Co.,Ltd.",LPN2,,PR24050286,2310002390,MIS24050618,Warut M.,IT,355565512,,,1-Jan-25,Network,Internet fee,CAT Corporate Internet Service speed 150/30Mbps.1 May 2024- 30 Apr 2025.,1," 17,500.00 ",P8 : P12
8,INV250008,15-Jan-25,T.VEERAPHAN KARKA(1968) LTD.PART,LPN1,P25010115,PR25010084,2310005999,,WATCHARAPONG W.,IT,0068010124,,,15-Jan-25,Spare part,Tape,13M Scotch Strong Double Mounting Tape 19mmX4M,2, 500.00 ,
9,INV250009,15-Jan-25,COMPUTER PERIPHERAL & SUPPLIES,LPN1,P25010119,PR24120075,2310005545,,SUPASSORN R.,IT,INV-67120627,TS2501001,,12-Dec-25,Spare part,Toner,"IDP Full-color, resin black and overlay panel ribbon withcleaning roller, 250cards/roll ",1," 1,900.00 ",IT25060741
9,INV250009,15-Jan-25,COMPUTER PERIPHERAL & SUPPLIES,LPN1,P25010119,PR24120075,2310005545,,SUPASSORN R.,IT,INV-67120627,TS2501002,,12-Dec-25,Spare part,Toner,"IDP Full-color, resin black and overlay panel ribbon withcleaning roller, 250cards/roll ",1," 1,900.00 ",
